Place,CarNo.,Team,Team.1,TotalScore,CostScore,PresentationScore,DesignScore,AccelerationScore,Skid PadScore,AutocrossScore,EnduranceScore,EfficiencyScore,Enduranceand EfficiencyScore,Penalty
60,53,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,200.58,42.8,60.0,60.0,16.65,3.5,8.63,9.0,,9.0,
61,E22,Central South University EV,Central South University EV,172.02,6.53,45.0,54.0,66.49,,,,,0.0,
62,E16,Guangdong University of Technology EV,Guangdong University of Technology EV,170.69,16.58,45.0,83.0,DSQ,26.11,,,,0.0,
63,85,Yeungnam University,Yeungnam University,170.05,0.0,18.75,52.0,51.50,3.5,10.68,101.76,31.86,133.62,-100.0
64,63,setsunanuniversity,摂南大学,168.87,0.0,18.75,33.0,53.60,3.81,35.51,56.87,67.33,124.2,-100.0
65,62,Nihon University College of science and technology,日本大学理工学部,161.07,26.32,18.75,40.0,43.85,3.5,26.65,2.0,,2.0,
66,36,Kurume Institute of Technolory,久留米工業大学,150.67,18.11,18.75,47.0,29.82,4.1,6.5,59.9,6.49,66.39,-40.0
67,67,Shizuoka Professional College Of Automobile Technology,静岡工科自動車大学校,124.9,17.15,18.75,60.0,4.50,0.0,6.5,18.0,,18.0,
68,56,The University of Tokyo,東京大学,121.55,33.05,52.5,36.0,,,,,,0.0,
69,68,Sebelas Maret University,Sebelas Maret University,119.18,17.18,37.5,30.0,4.50,3.5,6.5,20.0,0.0,20.0,
70,65,Kyushu University,九州大学,103.78,25.53,41.25,37.0,,,,,,0.0,
71,80,Gunma University,群馬大学,101.34,24.09,41.25,36.0,,,,,,0.0,
72,71,Hiroshima Institute of Technology,広島工業大学,96.16,25.66,37.5,33.0,,,,,,0.0,
73,73,Southern Taiwan University of Science Technology/XIAMEN University of Technology,Southern Taiwan University of Science Technology/XIAMEN University of Technology,91.18,8.33,22.5,30.0,26.85,3.5,,,,0.0,
74,46,Utsunomiya University,宇都宮大学,86.93,0.0,18.75,58.0,55.34,38.58,53.26,3.0,,3.0,-140.0
75,61,Kindai University,近畿大学,83.85,11.35,52.5,20.0,,,,,,0.0,
76,E7,Kanagawa University EV,神奈川大学EV,81.13,13.88,26.25,33.0,4.50,3.5,0.0,,,0.0,
77,66,University of Toyama,富山大学,80.94,9.44,37.5,34.0,0.00,,,,,0.0,
78,69,Osaka Prefecture University,大阪府立大学,73.37,17.37,45.0,11.0,,,,,,0.0,
79,74,Universitas Indonesia,Universitas Indonesia,70.07,8.57,37.50,24.00,,,,,,0.0,
80,55,Meisei University,明星大学,62.31,23.31,30.0,9.0,,,,,,0.0,
81,E3,Tohoku University EV,東北大学EV,51.86,23.36,52.5,46.0,,,,,,0.0,-70.0
82,86,Universiti Putra Malaysia,Universiti Putra Malaysia,49.6,7.85,48.75,33.0,,,,,,0.0,-40.0
83,E10,Shizuoka Insutitute Science and Technology EV,静岡理工科大学EV,35.95,10.2,48.75,27.0,,,,,,0.0,-50.0
84,79,Kogakuin University,工学院大学,31.11,0.0,22.5,87.0,4.5,,14.11,3.0,,3.0,-100.0
85,72,Tokyo Technical College Setagaya Campus,東京工科自動車大学校世田谷校,21.0,0.0,,21.0,,,,,,0.0,
86,59,soujyoudaigaku,崇城大学,11.66,0.0,37.5,47.0,5.97,14.69,6.5,25.0,0.0,25.0,-120.0
87,54,Chiba Institute of Technology,千葉工業大学,-34.5,0.0,22.5,43.0,,,,,,0.0,-100.0
88,E13,Toyota Technical College Tokyo EV,専門学校トヨタ東京自動車大学校 EV,-58.71,0.0,41.25,18.0,17.04,3.5,6.5,5.0,,5.0,-150.0
89,E23,UNIVERSITAS ISLAM INDONESIA EV,UNIVERSITAS ISLAM INDONESIA EV,-62.0,0.0,,20.0,,,,,,0.0,-82.0
90,E19,INSTITUT TEKNOLOGI SEPULUH NOPEMBER EV,INSTITUT TEKNOLOGI SEPULUH NOPEMBER EV,-100.43,3.32,11.25,5.0,,,,,,0.0,-120.0
91,E21,Kyushu Institute of Technology,九州工業大学EV,-102.0,0.0,,5.0,,,,,,0.0,-107.0
92,70,nishinipponkougyoudaigaku,西日本工業大学,-140.0,0.0,,0.0,,,,,,0.0,-140.0
92,83,Hiroshima University,広島大学,-140.0,0.0,,0.0,,,,,,0.0,-140.0
