Place,CarNo.,Team,Team.1,D1 Run 1 Time R,D1 Run 1 Time L,D1 Run 1 # ofCones,D1 Run 1 Adj.,D1 Run 2 Time R,D1 Run 2 Time L,D1 Run 2 # ofCones,D1 Run 2 Adj.,D2 Run 1 Time R,D2 Run 1 Time L,D2 Run 1 # ofCones,D2 Run 1 Adj.,D2 Run 2 Time R,D2 Run 2 Time L,D2 Run 2 # ofCones,D2 Run 2 Adj.,Vio Count,Best Time,Event Score
26,C18,Hokkaido University,北海道大学,6.123,6.009,0,6.066,5.620,5.565,0,5.592,6.796,6.459,0,6.627,5.880,5.639,3,6.134,0,5.592,32.55
27,C22,Osaka University,大阪大学,5.436,5.535,1,5.610,5.920,5.372,4,6.146,5.552,5.458,1,5.630,5.432,5.507,1,5.594,0,5.594,32.44
28,E03,The University of TokyoEV,東京大学EV,5.873,5.563,0,5.718,5.602,5.592,0,5.597,5.919,5.830,0,5.874,5.659,5.662,0,5.660,0,5.597,32.3
29,C28,"College of Industrial Technology, Nihon University",日本大学生産工学部,5.529,5.933,0,5.731,5.380,5.961,3,6.045,6.028,5.869,0,5.948,5.885,5.772,0,5.828,0,5.731,25.09
30,E09,University of YamanashiEV,山梨大学EV,5.791,5.830,0,5.810,5.837,5.785,0,5.811,,,,DNF,,,,DNF,0,5.81,21.05
31,C24,Kanazawa Institute of Technology,金沢工業大学,6.464,6.335,0,6.399,5.882,5.792,0,5.837,,,,DNF,,,,DNF,0,5.837,19.74
32,E14,Nissan Automobile Technical Collage Kyoto,日産京都自動車大学校EV,5.895,5.771,8,6.833,5.925,5.931,1,6.053,6.474,6.643,2,6.808,5.890,6.219,2,6.304,0,6.053,9.69
33,C44,Kurume Institute of Technology,久留米工業大学,6.307,6.367,1,6.462,6.169,5.836,1,6.127,5.824,6.186,6,6.755,,,,DNF,0,6.127,6.47
34,C05,Meijo University,名城大学,5.229,7.164,1,6.321,,,,DNF,,,,DNF,,,,DNF,0,6.321,3.5
34,C16,teikyoniversity,帝京大学,,,,DNF,,,,DNF,6.508,6.133,1,6.445,5.971,6.686,11,7.703,0,6.445,3.5
34,C31,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,6.948,6.457,0,6.702,,,,DNF,6.752,6.125,0,6.438,6.516,6.443,0,6.479,0,6.438,3.5
34,C37,Saitama University,埼玉大学,5.833,5.748,5,6.415,5.474,5.685,5,6.204,,,,DNF,,,,DNF,0,6.204,3.5
34,C39,Osaka Metropolitan University,大阪公立大学,9.058,9.287,0,9.172,8.001,8.992,0,8.496,,,,DNF,,,,DNF,0,8.496,3.5
34,E17,Aichi Institute of TechnologyEV,愛知工業大学EV,8.652,7.853,0,8.252,8.645,6.964,0,7.804,,,,DNF,,,,DNF,0,7.804,3.5
34,E18,Institute of TechnologistsEV,ものつくり大学EV,15.384,13.861,0,14.622,14.482,12.849,0,13.665,,,,DNF,,,,DNF,0,13.665,3.5
,C04,Kogakuin University,工学院大学,,,,,,,,,,,,,,,,,0,,
,C15,Sanyo-onoda City University,山陽小野田市立山口東京理科大学,,,,,,,,,,,,,,,,,0,,
,C26,Tokyo City University,東京都市大学,,,,,,,,,,,,,,,,,0,,
,C27,Okayama University,岡山大学,,,,,,,,,,,,,,,,,0,,
,C30,Niigata University,新潟大学,,,,,,,,,,,,,,,,,0,,
,C32,Tokyo University of Science,東京理科大学,,,,,,,,,,,,,,,,,0,,
,C34,Gunma university,群馬大学,,,,,,,,,,,,,,,,,0,,
,C35,Kindai University,近畿大学,,,,,,,,,,,,,,,,,0,,
,C36,Kanazawa University,金沢大学,,,,,,,,,,,,,,,,,0,,
,C38,Fukui University of Technology,福井工業大学,,,,,,,,,,,,,,,,,0,,
,C40,Meisei University,明星大学,,,,,,,,,,,,,,,,,0,,
,C43,Hiroshima Institute of Technology,広島工業大学,,,,,,,,,,,,,,,,,0,,
,C46,Sojo University,崇城大学,,,,,,,,,,,,,,,,,0,,
,C47,Tohoku Gakuin University,東北学院大学,,,,,,,,,,,,,,,,,0,,
,C48,Shizuoka Professional College Of Automobile Technology Sports,静岡工科自動車大学校,,,,,,,,,,,,,,,,,0,,
,C49,Tongji University,Tongji University,,,,,,,,,,,,,,,,,0,,
,C51,Harbin Institute of Technology at Weihai,Harbin Institute of Technology at Weihai,,,,,,,,,,,,,,,,,0,,
,C52,Kasetsart University,Kasetsart University,,,,,,,,,,,,,,,,,0,,
,C55,Kokushikan University,国士舘大学,,,,,,,,,,,,,,,,,0,,
,C57,Mie University,三重大学,,,,,,,,,,,,,,,,,0,,
,C59,Tokai University,東海大学,,,,,,,,,,,,,,,,,0,,
,C60,Aoyama Gakuin University,青山学院大学,,,,,,,,,,,,,,,,,0,,
,C62,Hiroshima University,広島大学,,,,,,,,,,,,,,,,,0,,
,C63,Muroran Institute of Technology,室蘭工業大学,,,,,,,,,,,,,,,,,0,,
,C64,Osaka Sangyo University,大阪産業大学,,,,,,,,,,,,,,,,,0,,
,C67,Universiti Putra Malaysia,Universiti Putra Malaysia,,,,,,,,,,,,,,,,,0,,
,E01,Nagoya University EV,名古屋大学EV,,,,,,,,,,,,,,,,,0,,
,E04,Shizuoka University,静岡大学EV,,,,,,,,,,,,,,,,,0,,
,E07,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,,,,,,,,,,,,,,,,,0,,
,E10,National Cheng Kung University EVEV,National Cheng Kung University EV,,,,,,,,,,,,,,,,,0,,
,E12,Kanagawa Institute of Technology,神奈川工科大学EV,,,,,,,,,,,,,,,,,0,,
,E13,Toyohashi University of Technology EV,豊橋技術科学大学EV,,,,,,,,,,,,,,,,,0,,
,E15,Tokyo University TechnologyEV,東京工科大学EV,,,,,,,,,,,,,,,,,0,,
,E16,Yokohama National UniversityEV,横浜国立大学EV,,,,,,,,,,,,,,,,,0,,
,E21,Jilin University EV,Jilin University EV,,,,,,,,,,,,,,,,,0,,
,E23,National Taiwan University EV,National Taiwan University EV,,,,,,,,,,,,,,,,,0,,
,E25,University of FukuiEV,福井大学EV,,,,,,,,,,,,,,,,,0,,
,E36,"National Institute of Technology, Ichinoseki College /Iwate UniversityEV",一関工業高等専門学校/岩手大学EV,,,,,,,,,,,,,,,,,0,,
